"scn","trough_year","variable","met","trough_resistance","description","unit","severity"
"harvest_85",27,"Rh",2008,-0.0666573765171698,"Annual  Heterotrophic respiration","unitless","85 %"
"harvest_45",14,"Rh",2010,-0.0228046990317899,"Annual  Heterotrophic respiration","unitless","45 %"
"harvest_65",18,"Rh",2010,-0.0421105989901393,"Annual  Heterotrophic respiration","unitless","65 %"
"harvest_85",22,"Rh",2010,-0.0741713509132838,"Annual  Heterotrophic respiration","unitless","85 %"
"harvest_45",18,"Rh",2012,-0.0361170365009794,"Annual  Heterotrophic respiration","unitless","45 %"
"harvest_65",18,"Rh",2012,-0.0595601379865438,"Annual  Heterotrophic respiration","unitless","65 %"
"harvest_85",18,"Rh",2012,-0.0882444759173546,"Annual  Heterotrophic respiration","unitless","85 %"
"harvest_45",25,"Rh",2014,-0.0400731788694337,"Annual  Heterotrophic respiration","unitless","45 %"
"harvest_65",18,"Rh",2014,-0.0682803168140868,"Annual  Heterotrophic respiration","unitless","65 %"
"harvest_85",18,"Rh",2014,-0.110938169625242,"Annual  Heterotrophic respiration","unitless","85 %"
"harvest_45",22,"Rh",2016,-0.0227245927479357,"Annual  Heterotrophic respiration","unitless","45 %"
"harvest_65",22,"Rh",2016,-0.0402982421631434,"Annual  Heterotrophic respiration","unitless","65 %"
"harvest_85",19,"Rh",2016,-0.0520255092568871,"Annual  Heterotrophic respiration","unitless","85 %"
"harvest_45",18,"Rh",2019,-0.0339972875848303,"Annual  Heterotrophic respiration","unitless","45 %"
"harvest_65",20,"Rh",2019,-0.0584498735350705,"Annual  Heterotrophic respiration","unitless","65 %"
"harvest_85",20,"Rh",2019,-0.0840212341390087,"Annual  Heterotrophic respiration","unitless","85 %"
"harvest_45",1,"NEP",1979,-0.440477370168866,"Annual  Net Ecosystem productivity","unitless","45 %"
"harvest_65",1,"NEP",1979,-0.924291316949738,"Annual  Net Ecosystem productivity","unitless","65 %"
"harvest_85",1,"NEP",1979,-1.91378556848753,"Annual  Net Ecosystem productivity","unitless","85 %"
"harvest_45",0,"NEP",1981,-0.169633020664273,"Annual  Net Ecosystem productivity","unitless","45 %"
"harvest_65",0,"NEP",1981,-0.337325139285445,"Annual  Net Ecosystem productivity","unitless","65 %"
"harvest_85",0,"NEP",1981,-0.640795381835052,"Annual  Net Ecosystem productivity","unitless","85 %"
"harvest_45",1,"NEP",1983,-0.367011642992291,"Annual  Net Ecosystem productivity","unitless","45 %"
